company,priceHour,priceDay,priceWeek,priceMonth
PTC,117.08,118.5,120.23,1
PTON,26.87,31.7,38.53,1
PVH,98.37,101.77,102.27,1
PWR,99.57,103.31,112.86,1
PXD,208.87,217.55,181.38,1
PYPL,167.59,175.22,191.38,1
QCOM,169.11,173.69,182.49,1
QDEL,106.42,113.4,137.7,1
QRVO,138.07,142.88,153.1,1
QS,16.18,18.39,24.74,1
RASP,1.0,1.0,1.0,1
RAVN,58.02,58.02,58.02,1
RBCM,1.0,1.0,1.0,1
RDRB,1.0,1.0,1.0,1
REGI,40.4,44.91,42.27,1
REGN,616.11,625.01,622.75,1
RENI,1.0,1.0,1.0,1
RF,22.12,23.92,21.52,1
RGSS,1.0,1.0,1.0,1
RHI,108.99,111.3,110.3,1
RIDE,2.51,2.84,4.18,1
RJF,98.91,102.57,107.14,1
RKKE,1.0,1.0,1.0,1
RL,110.29,113.92,114.56,1
RMD,236.8,244.3,258.16,1
RNFT,1.0,1.0,1.0,1
ROK,317.49,318.74,329.84,1
ROL,31.74,32.01,33.79,1
ROLO,1.0,1.0,1.0,1
ROP,442.14,444.79,478.34,1
ROSB,1.0,1.0,1.0,1
ROSN,1.0,1.0,1.0,1
ROST,1.0,1.0,1.0,1
ROST,1.0,1.0,1.0,1
RSG,129.39,130.07,135.52,1
RSTI,1.0,1.0,1.0,1
RSTIP,1.0,1.0,1.0,1
RTGZ,1.0,1.0,1.0,1
RTKM,1.0,1.0,1.0,1
RTKMP,1.0,1.0,1.0,1
RTSB,1.0,1.0,1.0,1
RTSBP,1.0,1.0,1.0,1
RTX,88.25,90.49,85.0,1
RUAL,1.0,1.0,1.0,1
RUGR,1.0,1.0,1.0,1
RUN,27.14,28.45,34.91,1
RUSI,1.0,1.0,1.0,1
RUSP,1.0,1.0,1.0,1
RZSB,1.0,1.0,1.0,1
SAGO,1.0,1.0,1.0,1
SAGOP,1.0,1.0,1.0,1
SARE,1.0,1.0,1.0,1
SAREP,1.0,1.0,1.0,1
SBER,1.0,1.0,1.0,1
SBERP,1.0,1.0,1.0,1
SBUX,97.63,97.54,112.66,1
SCCO,66.96,68.51,59.93,1
SCHW,89.98,91.88,85.61,1
SEDG,228.37,235.93,285.71,1
SEE,68.25,68.08,65.2,1
SELG,1.0,1.0,1.0,1
SELGP,1.0,1.0,1.0,1
SFIN,1.0,1.0,1.0,1
SGZH,1.0,1.0,1.0,1
SHW,298.85,306.2,321.82,1
SIBN,20.78,21.39,21.71,1
SIVB,616.6,659.87,677.51,1
SJM,142.64,144.23,133.42,1
SKLZ,4.94,5.58,8.52,1
SLEN,1.0,1.0,1.0,1
SMLT,1.0,1.0,1.0,1
SNA,209.14,213.67,209.89,1
SNAP,33.51,35.61,48.32,1
SNGS,1.0,1.0,1.0,1
SNGSP,1.0,1.0,1.0,1
SNPS,308.61,316.26,367.17,1
SO,68.32,68.47,66.74,1
SPBE,1.0,1.0,1.0,1
SPCE,8.76,9.21,14.49,1
SPGI,421.54,425.98,435.21,1
SPLK,117.01,120.45,115.76,1
SQ,122.61,128.6,167.85,1
SRE,135.54,136.61,129.71,1
SRPT,62.16,64.32,91.85,1
STSB,47.66,47.66,47.66,1
STSBP,1.0,1.0,1.0,1
STT,92.19,94.64,93.22,1
STZ,243.52,243.64,243.8,1
SVAV,1.0,1.0,1.0,1
SWK,179.23,183.19,188.28,1
SWKS,142.92,146.55,154.28,1
SWN,4.09,4.6,4.63,1
SYF,44.73,45.93,46.22,1
SYK,257.05,260.45,269.26,1
SYY,78.51,78.14,76.82,1
T,26.94,27.25,24.9,1
TAP,49.43,50.56,45.17,1
TASB,1.0,1.0,1.0,1
TASBP,1.0,1.0,1.0,1
TATN,1.0,1.0,1.0,1
TATNP,1.0,1.0,1.0,1
TDG,629.26,638.21,641.63,1
TDOC,75.09,77.07,94.16,1
TDY,418.91,419.26,419.32,1
TER,146.13,149.62,162.17,1
TFC,62.16,64.85,57.82,1
TFX,325.1,334.06,328.65,1
TGKA,1.0,1.0,1.0,1
TGKB,1.0,1.0,1.0,1
TGKBP,1.0,1.0,1.0,1
TGKD,1.0,1.0,1.0,1
TGKDP,1.0,1.0,1.0,1
TGKN,1.0,1.0,1.0,1
TGT,219.24,224.68,220.72,1
TJX,68.2,69.25,73.6,1
TMO,583.12,596.57,651.61,1
TMUS,104.03,105.72,120.68,1
TNSE,1.0,1.0,1.0,1
TORS,1.0,1.0,1.0,1
TORSP,1.0,1.0,1.0,1
TPR,37.4,37.83,41.38,1
TRCN,1.0,1.0,1.0,1
TRFM,1.0,1.0,1.0,1
TRMB,72.27,74.82,86.13,1
TRMK,33.5,34.31,32.17,1
TRNFP,1.0,1.0,1.0,1
TROW,161.67,168.82,194.64,1
TRV,164.07,161.51,154.98,1
TSCO,209.31,221.78,228.41,1
TSLA,964.14,1008.33,1059.38,1
TSN,89.88,92.75,85.63,1
TSVT,20.21,20.31,31.0,1
TTD,62.32,70.34,95.18,1
TTLK,1.0,1.0,1.0,1
TTWO,166.48,165.6,177.08,1
TUZA,1.0,1.0,1.0,1
TWTR,35.69,37.73,44.27,1
TXN,176.88,179.92,187.54,1
TXT,73.15,75.19,75.5,1
TYL,462.01,471.85,483.99,1
UA,16.39,16.36,17.46,1
UAL,42.48,44.61,44.93,1
UBER,36.85,38.3,44.12,1
UCSS,1.0,1.0,1.0,1
UHS,128.26,130.23,129.18,1
UKUZ,1.0,1.0,1.0,1
ULTA,353.4,375.43,392.58,1
UNAC,1.0,1.0,1.0,1
UNH,467.84,463.86,495.7,1
UNKL,1.0,1.0,1.0,1
UNM,26.12,27.22,27.24,1
UNP,248.38,239.63,250.36,1
UPRO,62.05,66.73,149.01,1
UPS,203.01,205.03,212.74,1
URI,305.47,309.34,335.3,1
URKA,1.0,1.0,1.0,1
URKZ,1.0,1.0,1.0,1
USB,56.23,57.46,56.31,1
USBN,1.0,1.0,1.0,1
UTAR,1.0,1.0,1.0,1
V,211.79,215.55,217.17,1
VEON-RX,1.0,1.0,1.0,1
VFC,68.4,71.0,69.26,1
VGSB,1.0,1.0,1.0,1
VGSBP,1.0,1.0,1.0,1
VIAC,32.14,35.04,30.25,1
VJGZ,1.0,1.0,1.0,1
VJGZP,1.0,1.0,1.0,1
VLHZ,1.0,1.0,1.0,1
VLO,80.19,84.82,72.79,1
VMC,188.65,188.95,206.87,1
VNT,28.55,29.6,31.47,1
VRSB,1.0,1.0,1.0,1
VRSBP,1.0,1.0,1.0,1
VRSK,199.07,201.27,225.76,1
VRSN,218.15,219.06,247.55,1
VRTX,229.27,231.96,222.02,1
VSMO,1.0,1.0,1.0,1
VSYD,1.0,1.0,1.0,1
VSYDP,1.0,1.0,1.0,1
VTBR,1.0,1.0,1.0,1
VTRS,14.62,14.81,13.65,1
VUZI,6.77,7.01,9.35,1
VXRT,4.92,5.39,6.86,1
VZ,53.43,53.67,52.82,1
WAB,91.39,92.38,93.92,1
WAT,321.62,326.66,345.35,1
WBA,52.65,53.48,50.69,1
WDC,58.79,62.12,61.08,1
WEC,97.86,96.42,94.68,1
WFC,54.36,56.04,48.42,1
WHR,202.4,209.18,226.55,1
WISH,2.59,2.51,3.6,1
WM,153.04,156.48,162.16,1
WMB,28.68,29.18,25.9,1
WMT,141.3,144.26,139.51,1
WRB,83.54,83.2,83.98,1
WRK,45.07,46.19,43.09,1
WST,373.52,377.19,458.83,1
WTCM,1.0,1.0,1.0,1
WTCMP,1.0,1.0,1.0,1
WU,18.24,18.79,17.81,1
WYNN,86.74,89.45,88.1,1
XEL,68.93,68.41,66.72,1
XLNX,191.34,192.0,220.22,1
XOM,72.8,73.46,61.27,1
XRAY,53.34,53.35,55.06,1
XYL,107.85,108.89,113.91,1
YAKG,1.0,1.0,1.0,1
YKEN,1.0,1.0,1.0,1
YKENP,1.0,1.0,1.0,1
YNDX,46.39,49.05,60.12,1
YRSB,1.0,1.0,1.0,1
YRSBP,1.0,1.0,1.0,1
YUM,124.96,125.01,133.53,1
ZBH,123.38,124.12,126.21,1
